"verb";"meanings"
"heredar";"<li>tr. Recibir por ley o testamento la propiedad de los bienes que una persona deja cuando muere para que sus bienes y derechos no se extingan con ella:<br><span class=""i"">heredó esta casa de su tía.</span> </li><li> <span class=""ac"">biol.</span> Poseer los seres vivos los caracteres psíquicos y biológicos de sus progenitores:<br><span class=""i""> ha heredado el genio de su padre.</span> </li><li> Recibir algo de una persona o circunstancia anterior:<br><span class=""i"">hemos heredado un desastroso estado de cuentas.</span> </li><li> <span class=""i"">col.</span> Usar las pertenencias de otra persona:<br><span class=""i"">siempre hereda los abrigos de su hermano mayor.</span><br></li>"
"herir";"<li>tr. Golpear,  romper o abrir con violencia los tejidos de un ser vivo. También prnl.:<br><span class=""i""> al caer se hirió en la pierna.</span> </li><li> Golpear,  dar un cuerpo contra otro:<br><span class=""i""> el martillo hería el metal.</span> </li><li> Ofender,  agraviar:<br><span class=""i""> aquella respuesta le hirió profundamente.</span> </li><li> Tocar las cuerdas o las teclas de un instrumento musical:<br><span class=""i"">hirió el laúd antes de cantar.</span> </li><li> Impresionar desagradablemente alguno de los sentidos:<br><span class=""i"">esa luz hiere la vista.</span> </li><li> Hacer fuerza un sonido sobre otro para formar sílaba o sinalefa. </li><li> Zumbar suavemente un proyectil en el aire:<br><span class=""i"">la saeta hirió el espacio hasta clavarse en la diana.</span><br> ♦ <span class=""b"">Irreg.</span> Se conj. como <span class=""b"">sentir</span>.<br></li>"
"hermanar";"<li>tr. y prnl. Unir,  armonizar,  compatibilizar dos o más cosas:<br><span class=""i"">sus textos hermanan el clasicismo y la modernidad.</span> </li><li> Unir,  hacer a uno hermano de otro en sentido místico o espiritual:<br><span class=""i""> la desgracia les ha hermanado.</span> </li><li> Establecer vínculos institucionales entre dos países o ciudades:<br><span class=""i"">el pueblo se ha hermanado con su vecino.</span><br></li>"
"hermetizar";""
"hermosear";"<li>tr. y prnl. Hacer o poner hermoso,  adornar:<br><span class=""i"">los años la han hermoseado.</span><br></li>"
"herrar";"<li>tr. Ajustar y clavar las herraduras a las caballerías,  o los callos a los bueyes:<br><span class=""i"">tuvo que herrar la mula.</span> </li><li> Marcar con hierro candente a un animal u objeto:<br><span class=""i"">ha tenido que herrar sus vacas porque desaparecían.</span> </li><li> Adornar o reforzar con hierro un objeto.<br> ♦ No confundir con<span class=""i""> errar.</span><span class=""b""> Irreg.</span> Se conj. como <span class=""b"">acertar</span>.<br></li>"
"hervir";"<li>intr. Moverse agitadamente un líquido por elevación de su temperatura o fermentación:<br><span class=""i"">el agua hierve a 100 ºC.</span> </li><li> Con las preps. <span class=""i"">en</span> y <span class=""i"">de, </span> abundar:<br><span class=""i"">la estación hervía de gente.</span> </li><li> Excitarse los afectos y las pasiones:<br><span class=""i"">hervir de impaciencia,  de ira.</span> </li><li> tr. Hacer hervir un líquido:<br><span class=""i"">hierve la leche.</span><br> ♦ <span class=""b"">Irreg.</span> Se conj. como <span class=""b"">sentir</span>.<br></li>"
"hibernar";"<li>intr. Pasar el invierno en estado de hibernación:<br><span class=""i"">las osas polares paren justo antes de hibernar.</span> </li><li> tr. <span class=""ac"">med.</span> Aplicar a un organismo el procedimiento de hibernación:<br><span class=""i"">solicitó que le hibernaran en espera de una cura para su enfermedad.</span><br></li>"
"hibridar";"<li>tr. Producir híbridos de modo artificial:<br><span class=""i"">ha conseguido hibridar plantas de flores simples y compuestas.</span><br></li>"
"hidratar";"<li>tr. Restablecer el grado de humedad normal de la piel:<br><span class=""i"">en condiciones extremas hay que hidratar mejor la piel.</span> </li><li> Restablecer la proporción adecuada de agua en el organismo:<br><span class=""i"">en las diarreas hay que hidratarse correctamente.</span> </li><li> <span class=""ac"">quím.</span> Combinar un cuerpo o sustancia con agua:<br><span class=""i"">hidratar cal.</span><br></li>"
"hidrolizar";"<li>tr. Someter un compuesto a hidrólisis:<br><span class=""i"">los cereales para bebés se hidrolizan.</span><br> ♦ Se conj. como <span class=""b"">cazar</span>.<br></li>"
"higienizar";"<li>tr. Dotar de condiciones higiénicas esenciales o normativas:<br><span class=""i"">higienizaron el local antes de establecer la panadería.</span><br> ♦ Se conj. como <span class=""b"">cazar</span>.<br></li>"
"hilar";"<li>tr. Transformar una fibra textil en un hilo continuo cohesionado y manejable:<br><span class=""i"">hilar lana.</span> </li><li> Segregar un insecto o arácnido una hebra de seda para formar el capullo o su tela:<br><span class=""i"">la araña hilaba su tela.</span> </li><li> Discurrir,  inferir unas cosas de otras:<br><span class=""i""> tienes que hilar más los conceptos de esta redacción.</span> </li><li> <span class=""b"">hilar delgado</span> o <span class=""b"">fino</span> loc. Discurrir con sutileza o proceder con sumo cuidado:<br><span class=""i"">es muy astuto,  así que ya puedes hilar fino con él.</span><br></li>"
"hilvanar";"<li>tr. Apuntar o unir con hilvanes. </li><li> Enlazar,  coordinar ideas,  frases o palabras:<br><span class=""i"">hilvanó su discurso con mucho ingenio.</span> </li><li> <span class=""i"">col.</span> Hacer algo con precipitación:<br><span class=""i"">ya veré cómo hilvano una comida.</span><br></li>"
"hincar";"<li>tr. Introducir o clavar una cosa en otra:<br><span class=""i""> hincó los dientes en la pera.</span> </li><li> Apoyar una cosa en otra con fuerza:<br><span class=""i""> hincó los pies para sostenerse.</span> </li><li> prnl. Arrodillarse:<br><span class=""i"">se hincó ante él para pedir clemencia.</span><br> ♦ Se conj. como <span class=""b"">sacar</span>.<br></li>"
"hinchar";"<li>tr. Hacer que aumente de volumen algún objeto o dilatarlo con un fluido. También prnl.:<br><span class=""i"">el dirigible se hinchó.</span> </li><li> Aumentar el agua de un río,  arroyo,  etc. También prnl.:<br><span class=""i"">el cauce se hinchó con las lluvias.</span> </li><li> Exagerar una noticia o un suceso:<br><span class=""i""> han hinchado los datos de audiencia.</span> </li><li> prnl. Aumentar de volumen una parte del cuerpo a causa de una herida,  golpe,  etc.:<br><span class=""i""> se le ha hinchado la muñeca.</span> </li><li> Llevar a cabo una actividad con exceso:<br><span class=""i"">se hinchó a reír;<br> se está hinchando a ganar dinero.</span> </li><li> Envanecerse,  engreírse:<br><span class=""i""> se hincha cuando habla en público.</span><br></li>"
"hipar";"<li>intr. Tener hipo:<br><span class=""i"">cuando se ríe mucho le da por hipar.</span> </li><li> Lloriquear,  sollozar:<br><span class=""i"">estuvo hipando toda la película.</span><br> ♦ A veces se pronuncia con <span class=""i"">h</span> aspirada.<br></li>"
"hipnotizar";"<li>tr. Producir hipnosis:<br><span class=""i"">el psiquiatra hipnotizó a la paciente.</span> </li><li> Fascinar,  seducir,  atraer mucho a alguien:<br><span class=""i""> esa chica le ha hipnotizado.</span><br> ♦ Se conj. como <span class=""b"">cazar</span>.<br></li>"
"hipotecar";"<li>tr. Gravar bienes inmuebles sujetándolos al cumplimiento de una obligación o pago de una deuda:<br><span class=""i"">ha tenido que hipotecar su casa.</span> </li><li> Poner en peligro,  condicionar:<br><span class=""i"">no estoy de acuerdo en que los hijos te hipotecan la vida.</span><br> ♦ Se conj. como <span class=""b"">sacar</span>.<br></li>"
"hisopear";""
"hispanizar";"<li>tr. y prnl. Transmitir las características,  lengua,  cultura y costumbres hispanas:<br><span class=""i"">se produjo una aculturación de la población nativa americana al hispanizarla.</span><br> ♦ Se conj. como <span class=""b"">cazar</span>.<br></li>"
"historiar";"<li>tr. Contar,  componer o escribir historias:<br><span class=""i"">historiar un cuento.</span> </li><li> <span class=""i"">amer.</span> <span class=""i"">col. </span>Complicar,  confundir.<br> ♦ Tiene dos modelos de conj.,  uno,  más habitual,  como <span class=""b"">cambiar</span> y otro como <span class=""b"">vaciar.</span><br></li>"
"hocicar";"<li>tr. Levantar la tierra con el hocico, <br><span class=""b"">hozar.</span><br> ♦ Se conj. como <span class=""b"">sacar</span>.<br></li>"
"hociquear";"<li>tr. e intr. <span class=""b"">hocicar.</span><br></li>"
"hojear";"<li>tr. Pasar con rapidez las hojas de un libro o revista:<br><span class=""i"">hojea el libro para ver si está dentro el billete.</span> </li><li> Leer superficialmente:<br><span class=""i"">he hojeado vuestros trabajos,  pero aún no los he corregido.</span> </li><li> intr. Moverse las hojas de los árboles.<br></li>"
"holgar";"<li>intr. Sobrar,  ser inútil algo:<br><span class=""i"">huelgan las explicaciones.</span> </li><li> Descansar de un trabajo o estar ocioso:<br><span class=""i"">siempre dice que el verano es para holgar.</span> </li><li> prnl. Divertirse:<br><span class=""i"">holgarse con sus amigos.</span><br> ♦ Este uso es antiguo. </li><li> Alegrarse de una cosa:<br><span class=""i"">holgarse de su buena suerte.</span><br> ♦ Este uso es antiguo.<br> ♦ <span class=""b"">Irreg.</span> Se conj. como <span class=""b"">rogar</span>.<br></li>"
"holgazanear";"<li>intr. Estar voluntariamente ocioso:<br><span class=""i"">te has pasado el trimestre holgazaneando y no vas a aprobar.</span><br></li>"
"hollar";"<li>tr. Pisar,  dejar huella:<br><span class=""i""> </span><span class=""i"">hollar la arena.</span> </li><li> Comprimir algo con los pies:<br><span class=""i"">hollar las uvas.</span> </li><li> Humillar,  despreciar:<br><span class=""i""> </span><span class=""i"">hollaron su propuesta.</span><br> ♦ <span class=""b"">Irreg.</span> Se conj. como <span class=""b"">contar</span>.<br></li>"
"hombrear";"<li>intr. Querer el joven parecer un hombre adulto.<br></li>"
"homenajear";"<li>tr. Rendir homenaje a alguien o a su memoria:<br><span class=""i"">homenajearon al ilustre escritor con un ciclo de conferencias sobre su obra.</span><br></li>"
"homogeneizar";"<li>tr. Volver homogénea una mezcla o un compuesto:<br><span class=""i"">homogeneizando algunos líquidos se consigue mantener unidos sus componentes.</span><br> ♦ Se conj. como <span class=""b"">enraizar</span>.<br></li>"
"homologar";"<li>tr. Equiparar,  poner en relación de igualdad o semejanza dos cosas:<br><span class=""i""> </span><span class=""i"">homologar los anchos de vía.</span> </li><li> <span class=""ac"">dep.</span> Registrar y confirmar un organismo autorizado el resultado de una prueba deportiva:<br><span class=""i"">homologar los tiempos de los plusmarquistas.</span> </li><li> Contrastar una autoridad oficial el cumplimiento de determinadas especificaciones o características de un objeto o de una acción:<br><span class=""i""> </span><span class=""i"">homologar un título de enseñanza.</span><br> ♦ Se conj. como <span class=""b"">llegar</span>.<br></li>"
"hondear";"<li>tr. Reconocer el fondo de una superficie acuática con sonda o sonar:<br><span class=""i"">hondear una dársena.</span> </li><li> Sacar carga de una embarcación.<br></li>"
"honrar";"<li>tr. Respetar a una persona o cosa:<br><span class=""i""> honrar a los padres.</span> </li><li> Enaltecer o premiar los méritos de alguien:<br><span class=""i"">este premio honra su carrera.</span> </li><li> Aportar honor o celebridad:<br><span class=""i"">tus buenas acciones te honran.</span> </li><li> En fórmulas de cortesía,  honor que se recibe por la asistencia o adhesión de una persona:<br><span class=""i""> </span><span class=""i"">hoy nos honra con su presencia nuestro querido profesor.</span> </li><li> prnl. Tener como motivo de orgullo ser o hacer alguna cosa:<br><span class=""i""> se honraba de haber participado en aquella batalla.</span><br></li>"
"horadar";"<li>tr. Agujerear una cosa atravesándola de parte a parte:<br><span class=""i"">no quiero que a mi hija le horaden las orejas para ponerle pendientes.</span><br></li>"
"hormiguear";"<li>intr. Experimentar en alguna parte del cuerpo una sensación molesta de cosquilleo,  como si estuviera recorrida por hormigas:<br><span class=""i"">se me ha dormido una mano y me hormiguean los dedos.</span> </li><li> Bullir,  moverse de un lado para otro:<br><span class=""i"">durante las rebajas,  una multitud hormiguea por los centros comerciales.</span><br></li>"
"hornear";"<li>tr. Meter una cosa en el horno para asarla o cocerla:<br><span class=""i"">hornéelo a 180 grados.</span><br></li>"
"horquetear";""
"horripilar";"<li>tr. Hacer que se ericen los cabellos. También prnl.:<br><span class=""i""> las escenas violentas me horripilan.</span> </li><li> Causar horror y espanto. También prnl.:<br><span class=""i"">me horripila el mal trato a los animales.</span><br></li>"
"horrorizar";"<li>tr. Causar horror:<br><span class=""i""> </span><span class=""i"">le horrorizan las arañas.</span> </li><li> prnl. Tener horror ante algo:<br><span class=""i""> se horrorizó al saber el precio.</span><br> ♦ Se conj. como <span class=""b"">cazar</span>.<br></li>"
"hospedar";"<li>tr. Dar alojamiento a una persona:<br><span class=""i""> </span><span class=""i"">le hospedaron en su casa.</span> </li><li> prnl. Estar alojado en un lugar:<br><span class=""i"">se hospedó en una pequeña pensión.</span><br></li>"
"hospitalizar";"<li>tr. Internar a una persona en un hospital:<br><span class=""i"">ha estado hospitalizada tres semanas.</span><br> ♦ Se conj. como <span class=""b"">cazar</span>.<br></li>"
"hostigar";"<li>tr. Azotar con un látigo o una vara,  especialmente a las caballerías para que anden. </li><li> Acosar,  molestar a una persona para obtener de ella algún fin:<br><span class=""i"">los invasores hostigaban sin tregua la ciudad sitiada.</span> </li><li> <span class=""i"">amer.</span> <span class=""b"">empalagar.</span><br> ♦ Se conj. como <span class=""b"">llegar</span>.<br></li>"
"hostilizar";"<li>tr. Causar daño al enemigo. </li><li> Agredir,  molestar a alguien levemente,  pero con insistencia.<br> ♦ Se conj. como <span class=""b"">cazar</span>.<br></li>"
